,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30
0,thermal,laser,protein,management,emulsion,service,mimo,memory,rainfall,antenna,grid,algorithm,temperature,sensor,image,film,membrane,carbon,roll,film,cell,railway,power,cu,power,particle,willingness,crack,mechanical,liposome
1,sensor,specimen,cell,water,droplet,smart,gene,buffer,drought,torque,voltage,optimization,c,water,video,optical,strength,battery,active,deposition,hydrogel,risk,energy,bonding,converter,size,public,fracture,temperature,textile
2,circuit,surface,human,neural,interfacial,security,bearing,segmentation,climate,band,state,mesh,surface,fluorescence,virtual,metal,heat,electrode,force,thin,tissue,track,renewable,plasma,voltage,alloy,valuation,strain,strength,machine
3,light,steel,effect,use,cognitive,algorithm,evapotranspiration,search,precipitation,radiation,inverter,numerical,cell,cu,user,transparent,steel,electrochemical,controller,catalyst,engineering,safety,electricity,surface,motor,nanoparticles,fuel,surface,property,education
4,pressure,bar,drug,quality,organic,iot,effect,storage,robot,bandwidth,interface,simulation,material,chemosensor,object,oxide,shear,material,robot,cell,microfluidic,physical,ground,effect,electric,powder,wtp,material,fatigue,filter
5,charge,material,expression,stream,redox,internet,endocrine,waste,walking,ghz,filter,tree,oxide,acid,camera,property,temperature,electrical,simulation,glucose,printing,train,heat,acid,circuit,oil,cell,pipe,alloy,pressure
6,pulse,seismic,p,heating,degradation,architecture,t,query,tax,array,observer,vector,fuel,cell,vr,material,cooling,g,lateral,substrate,fabrication,rail,electric,copper,drive,surface,gas,steel,die,skin
7,wave,hardness,acid,station,membrane,thing,cardiovascular,semantic,gcms,television,controller,velocity,adsorption,ion,reality,electrode,material,storage,sensor,chemical,collector,health,plant,cell,dc,oxide,krw,tensile,optical,platform
8,quantum,effect,blood,network,magnesium,environment,basin,nand,temperature,solar,electric,motion,carbon,zn,bone,resistance,water,cycling,object,atomic,compression,content,consumption,animal,switching,synthesis,household,fe,photocatalytic,fault
9,mouse,redox,b,deep,carotene,device,water,hydrogen,change,impedance,aln,market,property,fluorescent,sound,ec,reinforced,lithium,steering,oxide,property,speed,supply,leaf,inverter,temperature,environmental,bending,tensile,gaussian
